Nombre.de.Comunidad,Código.de.Provincia,Nombre.de.Provincia,Población,Total.censo.electoral,Total.votantes,Votos.válidos,Votos.a.candidaturas,Votos.en.blanco,Votos.nulos,siglas,votos,sobrevalido,swingfactor_abs,swingfactor
Andalucía,4,Almería,701211,491496,308989,306674,304461,2213,2315,PP,131801,42.977559232279226,1.1077851234609697,1.3019557477212733
Andalucía,11,Cádiz,1240284,993689,622252,615755,608817,6938,6497,PP,198876,32.297910695000446,1.115143277818196,0.9784280731596622
Andalucía,14,Córdoba,795611,651184,452038,446818,442329,4489,5220,PP,153750,34.40998348320793,0.91235500030757255,1.0424108901305038
Andalucía,18,Granada,917297,748579,494171,489540,486116,3424,4631,PP,172721,35.28230583813376,1.0138859719771813,1.0688368930061727
Andalucía,21,Huelva,520017,396117,249269,245819,243293,2526,3450,PP,81959,33.34119819867463,1.1059628648205073,1.0100332686663023
Andalucía,23,Jaén,654170,532211,375082,370762,368217,2545,4320,PP,131234,35.39575253127343,0.88078212057665906,1.0722736301506643
Andalucía,29,Málaga,1628973,1163657,752086,744858,738680,6178,7228,PP,256033,34.373397345534315,1.0551538057793985,1.0413025551509942
Andalucía,41,Sevilla,1941480,1531806,1044851,1033112,1023530,9582,11739,PP,299884,29.02724970767932,0.9483770879627175,0.8793471586694735
Aragón,22,Huesca,222909,173546,118018,116884,115680,1204,1134,PP,42332,36.217104137435406,0.95453841968319,1.0971555327911362
Aragón,44,Teruel,138932,109380,75932,74922,74218,704,1010,PP,30913,41.260243987079896,0.9122801505207698,1.2499316566822145
Aragón,50,Zaragoza,956006,734064,517144,513135,509011,4124,4009,PP,179211,34.92472741091526,0.8815798597753839,1.0580044656442067
Principado de Asturias,33,Asturias,1051229,982837,600463,594699,589325,5374,5764,PP,209632,35.25010131175603,1.1606541982188268,1.0678612939035454
Illes Balears,7,Illes Balears,1104479,772939,469437,464787,460561,4226,4650,PP,163045,35.07950953877798,1.171419168730247,1.0626934122622835
Canarias,35,Las Palmas,1098406,842916,508957,502506,499004,3502,6451,PP,170316,33.893326646846006,1.1819656201767403,1.0267593652482887
Canarias,38,Santa Cruz de Tenerife,1001900,833373,481925,476666,473883,2783,5259,PP,163129,34.22291499708391,1.2581071785374423,1.036743865406965
Cantabria,39,Cantabria,585179,498203,341348,337567,335113,2454,3781,PP,140252,41.547900120568656,0.9392647389515052,1.2586458685419164
Castilla - La Mancha,2,Albacete,394580,310083,221706,219473,218043,1430,2233,PP,89717,40.87837683906449,0.8502708455678165,1.2383634304472733
Castilla - La Mancha,13,Ciudad Real,513713,400552,282634,279396,277457,1939,3238,PP,121622,43.53032971123423,0.8782480415689832,1.318701293887738
Castilla - La Mancha,16,Cuenca,203841,157835,117118,115849,115026,823,1269,PP,53004,45.752660791202345,0.7696060045183283,1.3860242590488443
Castilla - La Mancha,19,Guadalajara,253686,182408,132903,131538,130716,822,1365,PP,52047,39.568033572047625,0.8096571833145115,1.198668087611258
Castilla - La Mancha,45,Toledo,693371,518206,371866,367503,365529,1974,4363,PP,159521,43.40672048935655,0.842474187866627,1.314956694618496
Castilla y León,5,Ávila,164925,139218,100106,98917,98200,717,1189,PP,50931,51.48862177381036,0.8381285291099745,1.559788602660114
Castilla y León,9,Burgos,364002,300243,209246,206981,205169,1812,2265,PP,88785,42.89524159222344,0.9041701679078291,1.2994620294523915
Castilla y León,24,León,479395,440263,284076,280858,278461,2397,3218,PP,112723,40.135228478448184,1.0583484659042242,1.2158506052241196
Castilla y León,34,Palencia,166035,143769,101838,100626,99788,838,1212,PP,45965,45.67904915230656,0.8700935674605698,1.3837942790762363
Castilla y León,37,Salamanca,339395,308612,204615,202483,201040,1443,2132,PP,97672,48.23713595709269,1.0053192356495122,1.4612885779185911
Castilla y León,40,Segovia,157570,120823,89662,88525,87910,615,1137,PP,40172,45.37927139226207,0.7694098847172584,1.3747128564756763
Castilla y León,42,Soria,91006,76814,50337,49618,49018,600,719,PP,22264,44.87081301140715,1.0283107699701468,1.3593096943776781
Castilla y León,47,Valladolid,526288,433056,319280,315768,313534,2234,3512,PP,132026,41.81107648653442,0.7837951850043215,1.2666184939877134
Castilla y León,49,Zamora,183436,173320,110339,108893,107883,1010,1446,PP,52555,48.262973744868816,1.0840688406176278,1.4620713039948143
Cataluña,8,Barcelona,5523922,4131319,2659818,2643933,2622852,21081,15885,PP,357759,13.531318683189022,1.0625951302898626,0.4099157432047568
Cataluña,17,Girona,753054,512366,310377,307853,305211,2642,2524,PP,31035,10.081110140229265,1.1760977155007135,0.3053956419336342
Cataluña,25,Lleida,436029,313207,182909,181159,179003,2156,1750,PP,24503,13.52568737959472,1.2410871524930254,0.40974514933640477
Cataluña,43,Tarragona,795101,562990,347861,344620,341560,3060,3241,PP,51241,14.868841042307468,1.139972218737824,0.4504344453895022
Extremadura,6,Badajoz,686730,558228,382981,377949,375230,2719,5032,PP,149603,39.582853771276014,0.9365586208921605,1.199117048508816
Extremadura,10,Cáceres,406267,349082,239735,236205,234666,1539,3530,PP,95419,40.39668931648357,0.9344916107886598,1.2237712607235254
Galicia,15,A Coruña,1127196,1087472,651065,643389,636696,6693,7676,PP,257855,40.0776202266436,1.1972080117288424,1.21410542946512
Galicia,27,Lugo,339386,348561,196272,192957,190869,2088,3315,PP,91516,47.428183481293765,1.3034240559407635,1.4367822926777876
Galicia,32,Ourense,318391,364469,188562,186177,184650,1527,2385,PP,92539,49.704850760297994,1.4398541976695018,1.5057513105209936
Galicia,36,Pontevedra,947374,901233,551762,544673,540255,4418,7089,PP,208921,38.35714272600257,1.1568313436579687,1.1619855415329468
Comunidad de Madrid,28,Madrid,6436996,4927932,3489376,3465795,3447658,18137,23581,PP,1325665,38.24995419521351,0.8708794774093342,1.1587383882221605
Comunidad Foral de Navarra,31,Navarra,640476,502530,338720,335335,331867,3468,3385,PP,106976,31.90123309526295,0.9724659571019328,0.9664111813166602
País Vasco,1,Araba - Álava,323648,254579,169331,167640,166562,1078,1691,PP,34276,20.446194225721783,0.9989818840878956,0.6193939480679123
País Vasco,20,Gipuzkoa,716834,580706,367464,365493,362782,2711,1971,PP,35312,9.661470944723975,1.0955001058829656,0.29268315494468267
País Vasco,48,Bizkaia,1148775,948080,625444,621219,617312,3907,4225,PP,78965,12.711298270014279,1.0152285669577845,0.385074167525425
